1	Андрей	Андрей	PROPN	_	Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing	0	root	_	@vjus1978f-words#@vjus1978f#3.04#3.648
2	/	/	PUNCT	_	_	3	punct	_	@vjus1978f-words#@vjus1978f#3.648#4.256
3	скажи	сказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	1	appos	_	@vjus1978f-words#@vjus1978f#4.256#4.866
4	ааа	ааa	INTJ	_	_	3	nmod	_	@vjus1978f-words#@vjus1978f#4.866#5.127
5	/	/	PUNCT	_	_	7	punct	_	@vjus1978f-words#@vjus1978f#5.127#5.388
6	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	7	nsubj	_	@vjus1978f-words#@vjus1978f#5.388#5.649
7	пользуешься	пользуеться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	3	acl	_	@vjus1978f-words#@vjus1978f#5.649#5.91
8	только	только	PART	_	_	9	advmod	_	@vjus1978f-words#@vjus1978f#5.91#6.171
9	такси	такси	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	7	obl	_	@vjus1978f-words#@vjus1978f#6.171#6.432
10	/	/	PUNCT	_	_	7	punct	_	@vjus1978f-words#@vjus1978f#6.432#6.693
11	или	или	CCONJ	_	_	13	cc	_	@vjus1978f-words#@vjus1978f#6.693#6.954
12	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	13	nsubj	_	@vjus1978f-words#@vjus1978f#6.954#7.215
13	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	7	conj	_	@vjus1978f-words#@vjus1978f#7.215#7.476
14	пройти	пройти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	13	xcomp	_	@vjus1978f-words#@vjus1978f#7.476#7.737
15	вот	вот	PART	_	_	16	advmod	_	@vjus1978f-words#@vjus1978f#7.737#7.998
16	щас	сейчас	ADV	_	_	14	obj	_	@vjus1978f-words#@vjus1978f#7.998#8.259
17	погулять	погулять	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	14	xcomp	_	@vjus1978f-words#@vjus1978f#8.259#8.52
18	по	по	ADP	_	_	20	case	_	@vjus1978f-words#@vjus1978f#8.52#8.781
19	Красной	красный	ADJ	_	Case=Dat|Degree=Pos|Gender=Fem|Number=Sing	20	amod	_	@vjus1978f-words#@vjus1978f#8.781#9.042
20	площади	площадь	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	17	obl	_	@vjus1978f-words#@vjus1978f#9.042#9.303
21	?	?	PUNCT	_	_	20	punct	_	@vjus1978f-words#@vjus1978f#9.303#9.564
22	/	/	PUNCT	_	_	23	punct	_	@vjus1978f-words#@vjus1978f#9.564#9.825
23	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	27	parataxis	_	@vjus1978f-words#@vjus1978f#9.825#10.086
24	вот	вот	PART	_	_	25	advmod	_	@vjus1978f-words#@vjus1978f#10.086#10.347
25	как	как	ADV	_	Degree=Pos	27	advmod	_	@vjus1978f-words#@vjus1978f#10.347#10.608
26	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	27	nsubj	_	@vjus1978f-words#@vjus1978f#10.608#10.869
27	реагируют	реагировать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	7	advcl	_	@vjus1978f-words#@vjus1978f#10.869#11.13
28	на	на	ADP	_	_	29	case	_	@vjus1978f-words#@vjus1978f#11.13#11.391
29	улице	улица	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	27	obl	_	@vjus1978f-words#@vjus1978f#11.391#11.652
30	/	/	PUNCT	_	_	31	punct	_	@vjus1978f-words#@vjus1978f#11.652#11.92
31	случались	случаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	62	parataxis	_	@vjus1978f-words#@vjus1978f#11.92#12.284
32	же	же	PART	_	_	31	advmod	_	@vjus1978f-words#@vjus1978f#12.284#12.648
33	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	35	det	_	@vjus1978f-words#@vjus1978f#12.648#13.012
34	агрессивные	агрессивный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	35	amod	_	@vjus1978f-words#@vjus1978f#13.012#13.376
35	нападки	нападки	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	31	nsubj	_	@vjus1978f-words#@vjus1978f#13.376#13.74
36	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	39	det	_	@vjus1978f-words#@vjus1978f#13.74#14.104
37	/	/	PUNCT	_	_	39	punct	_	@vjus1978f-words#@vjus1978f#14.104#14.468
38	какие-то	какой-то	DET	_	Case=Nom|Number=Plur	39	det	_	@vjus1978f-words#@vjus1978f#14.468#14.832
39	драки	драка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	62	nsubj	_	@vjus1978f-words#@vjus1978f#14.832#15.196
40	/	/	PUNCT	_	_	39	punct	_	@vjus1978f-words#@vjus1978f#15.196#15.56
41	вот	вот	PART	_	_	42	advmod	_	@vjus1978f-words#@vjus1978f#15.56#15.924
42	что-то	что-то	PRON	_	Case=Nom	62	nsubj	_	@vjus1978f-words#@vjus1978f#15.924#16.288
43	вот	вот	PART	_	_	46	advmod	_	@vjus1978f-words#@vjus1978f#16.288#16.652
44	про	про	ADP	_	_	45	case	_	@vjus1978f-words#@vjus1978f#16.652#17.016
45	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	47	obl	_	@vjus1978f-words#@vjus1978f#17.016#17.38
46	можешь	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	42	appos	_	@vjus1978f-words#@vjus1978f#17.38#17.744
47	рассказать	рассказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	46	xcomp	_	@vjus1978f-words#@vjus1978f#17.744#18.108
48	?	?	PUNCT	_	_	46	punct	_	@vjus1978f-words#@vjus1978f#18.108#18.48
49	хм	хм	INTJ	_	_	50	amod	_	@vjus1978f-words#@vjus1978f#20.802#20.886
50	хм	хм	INTJ	_	_	46	obl	_	@vjus1978f-words#@vjus1978f#20.886#20.971
51	#кашляет#	#кашляет#	INTJ	_	_	50	nmod	_	@vjus1978f-words#@vjus1978f#25.45#25.957
52	хм	хм	INTJ	_	_	50	obl	_	@vjus1978f-words#@vjus1978f#28.507#28.591
53	хм	хм	INTJ	_	_	52	obl	_	@vjus1978f-words#@vjus1978f#28.591#28.676
54	хм	хм	INTJ	_	_	53	obl	_	@vjus1978f-words#@vjus1978f#36.921#36.99
55	хм	хм	INTJ	_	_	54	obl	_	@vjus1978f-words#@vjus1978f#36.99#37.06
56	хм	хм	INTJ	_	_	55	obl	_	@vjus1978f-words#@vjus1978f#42.687#42.843
57	хм	хм	INTJ	_	_	56	obl	_	@vjus1978f-words#@vjus1978f#42.843#43.0
58	хм	хм	INTJ	_	_	57	obl	_	@vjus1978f-words#@vjus1978f#46.25#46.406
59	хм	хм	INTJ	_	_	58	obl	_	@vjus1978f-words#@vjus1978f#46.406#46.562
60	хм	хм	INTJ	_	_	62	amod	_	@vjus1978f-words#@vjus1978f#63.21#63.432
61	хм	хм	INTJ	_	_	62	obl	_	@vjus1978f-words#@vjus1978f#63.432#63.654
62	смотри	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	27	conj	_	@vjus1978f-words#@vjus1978f#65.636#65.908
63	Андрей	Андрей	PROPN	_	Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing	66	parataxis	_	@vjus1978f-words#@vjus1978f#65.908#66.18
64	/	/	PUNCT	_	_	63	punct	_	@vjus1978f-words#@vjus1978f#66.18#66.452
65	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	66	nsubj	_	@vjus1978f-words#@vjus1978f#66.452#66.724
66	говоришь	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	59	parataxis	_	@vjus1978f-words#@vjus1978f#66.724#66.996
67	про	про	ADP	_	_	68	case	_	@vjus1978f-words#@vjus1978f#66.996#67.268
68	недвижимость	недвижимость	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	72	obl	_	@vjus1978f-words#@vjus1978f#67.268#67.54
69	/	/	PUNCT	_	_	72	punct	_	@vjus1978f-words#@vjus1978f#67.54#67.812
70	которую	который	PRON	_	Case=Acc|Gender=Fem|Number=Sing	73	obj	_	@vjus1978f-words#@vjus1978f#67.812#68.084
71	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	72	nsubj	_	@vjus1978f-words#@vjus1978f#68.084#68.356
72	хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	66	conj	_	@vjus1978f-words#@vjus1978f#68.356#68.628
73	покупать	покупать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	72	xcomp	_	@vjus1978f-words#@vjus1978f#68.628#68.9
74	в	в	ADP	_	_	75	case	_	@vjus1978f-words#@vjus1978f#68.9#69.172
75	Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	73	obl	_	@vjus1978f-words#@vjus1978f#69.172#69.454
76	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	72	obl	_	@vjus1978f-words#@vjus1978f#69.989#70.691
77	ведь	ведь	PART	_	_	76	advmod	_	@vjus1978f-words#@vjus1978f#70.906#71.191
78	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	76	appos	_	@vjus1978f-words#@vjus1978f#71.191#71.476
79	/	/	PUNCT	_	_	82	punct	_	@vjus1978f-words#@vjus1978f#71.476#71.761
80	как	как	ADV	_	Degree=Pos	82	advmod	_	@vjus1978f-words#@vjus1978f#71.761#72.046
81	бы	бы	PART	_	_	80	fixed	_	@vjus1978f-words#@vjus1978f#72.046#72.331
